英語,翻訳,備考
cyber sanctions,サイバー制裁,
countermeasures,対抗策,
cryptocurrency,暗号通貨,
unauthorised access,不正アクセス,
dangling pointer,ダングリングポインタ,
wild pointer,ワイルドポインタ,
memory smash,メモリ破壊,
shell code,シェルコード,
ID Federation,ID連携,
browser fingerprint,ブラウザフィンガープリント,
connect-back,コネクトバック,
code-reuse attack,コード再利用型攻撃,
security regression testing,セキュリティ回帰テスト,
misinformation,誤情報,
fake news,フェイクニュース,
stack-smashing attack,スタック破壊攻撃,
format string attack,書式文字列攻撃,
fault injection,フォールトインジェクション,
built in function,組み込み関数,
standard library function,標準ライブラリ関数		,
canary,カナリア,
sanitize,無害化（する）,
autonomy,自律性,
electronic communications systems,電子通信システム,
nonrepudiation,否認防止,
electronic information and communications systems,電子情報通信システム,
unauthorized use,不正使用,
exploitation,悪用,
cybersecurity,サイバーセキュリティ,
entity,エンティティ,
threat,脅威,
policy,ポリシー,
management system,マネジメントシステム,
incident,インシデント,
fraud detector,不正検知,
Operational Technology(OT),運用・ 制御技術(OT),
subject,主体,
information leak,情報漏洩,
path traversal,パストラバーサル,
configuration,設定,
OS command injection,OSコマンドインジェクション,
credential,クレデンシャル,
handshake,ハンドシェーク,
plaintext,平文,
ciphertext,暗号文,
encryption,暗号化、暗号,
decryption,復号,
private-key,秘密鍵（公開鍵対における）,
public-key,公開鍵（公開鍵対における）,
public-key cryptography,公開鍵暗号化方式,
asymmetric key algorithm,非対称暗号化方式（≒公開鍵暗号化方式）,
private-key cryptography,秘密鍵暗号化方式（≒共通鍵暗号化方式）,
symmetric key algorithm,対称暗号化方式（≒共通鍵暗号化方式）,
known-plaintext attack,既知平文攻撃,
chosen-plaintext attack,選択平文攻撃,
chosen-ciphertext attack,選択暗号文攻撃,
cracking,クラッキング,
cryptosystem,暗号システム,
modern ciphers,現代暗号,
key size,鍵サイズ（≒鍵長）,
key length,鍵長,
forward secrecy,前方秘匿性、FS ,
perfect forward secrecy,完全前方秘匿性、PFS,
Dark web,ダークウェブ,
Deep Web,ディープウェブ,
Surface Web,サーフェスウェブ,
Public Web,パブリックウェブ,
collision attack,衝突攻撃,
brute force attack,総当たり攻撃,
cryptographic hash function,暗号学的ハッシュ関数,
certificate authority,認証局,
code signing,コード署名,
public key certificate, 公開鍵証明書,
X.509 certificate,X.509証明書,
public diplomacy,広報文化外交,
benign influence,良性の影響,
covert,隠密,
coercive,強圧的,
corrupt,腐敗した,
malign influence,不適切な影響,
cybernorm,サイバー規範,
cybernorm process,サイバー規範プロセス,
cyber diplomacy,サイバー外交,
cyber hygiene,サイバー衛生,
back up,バックアップ（≒複製保存）,
shut down ,シャットダウン,
recovery,リカバリー,
reverse brute force attack,逆総当たり攻撃,
password spraying (attack),パスワードスプレー（攻撃）,
interactive voice response system,自動音声応答システム（≒IVRシステム）,
weakness,弱点,
end to end encryption,拠点間暗号化（≒E2EE、E2E暗号化）,
credential stuffing attack,クレデンシャルスタッフィング攻撃（≒パスワードリスト攻撃）,
truncation attack, 強制切断攻撃,
Certiﬁcate Transparency, 証明書の透明性、CT,
Signed Certiﬁcate Timestamps, 署名済み証明書タイムスタンプ、SCT,
transcript hash,トランスクリプトハッシュ,
session resumption,セッションリザンプション,
nonce, ナンス,
straw man,藁人形論法,
bot,ボット,
fake account,フェイクアカウント,
propaganda,プロパガンダ,
social media,ソーシャルメディア,
sock puppet,ソックパペット（≒多重アカウント）,
troll,トロール,
fact-check,ファクトチェック,
cyber troops,サイバー部隊,
micro-targeting,マイクロターゲティング,
content analysis,コンテンツ分析,
voter fraud,投票不正,
automated accounts,ボットアカウント（≒自動化アカウント）,
human-curated accounts,人為工作用アカウント,
impersonation accounts,成り済ましアカウント,
industrialized disinformation,産業化偽情報（行為）,
organized social media manipulation,組織化されたソーシャルメディア誘導（行為）,
political warfare,政治戦,
computational propaganda,コンピュータプロパガンダ（≒影響力工作）,
doxing,晒し,
memory-hard function, メモリハード関数,
memory-bound function, メモリバウンド関数,
watering hole attack,たまり場型攻撃,
biometric identification,バイオメトリクス識別,
biometric authentication,バイオメトリクス認証,
cryptographic scheme,暗号方式,
malvertising,マルバタイジング,
malware,マルウェア,
face recognition,顔認識,
face authentication,顔認証,
face detection,顔検出,
mutual authentication,相互認証,
block chaining,ブロックチェイニング,
Arab Spring,アラブの春,
discursive power,ディスカーシブパワー,
soft power,ソフトパワー,
public opinion manipulation,世論操作,
public diplomacy,パブリックディプロマシー,
strategic communications,戦略的コミュニケーション,
computational propaganda,コンピュータプロパガンダ,
fake news,フェイクニュース,
Internet freedom,インターネットの自由,
sockpuppet,ソックパペット,
information dominance,情報優越,
astroturfing,アストロターフィング（人工芝運動：一般消費者の自発的行動を装ったやらせ）,
catfishing,キャットフィッシング（偽のアカウントを使って他人のふりをして見知らぬ人と親しくなること）,
public opinion warfare,世論戦,
online public opinion warfare,オンライン世論戦,
information-driven mental warfare,情報誘導型精神戦,
cyber-psychological warfare,サイバー心理戦,
three warfares,三戦（心理戦、世論戦、法律戦）,
psychological warfare,心理戦,
public opinion warfare,世論戦,
legal warfare,法律戦,
domestic influence efforts,国内影響力活動,
foreign influence efforts,海外影響力活動,
election interference,選挙妨害,
influence campaign,影響力キャンペーン,
coordinated inauthentic activity,協調的非真正活動,
cognitive domain operations,認知領域作戦,
psychological operations,心理作戦（PSYOPS）,
influence vector,インフルエンスベクタ,
keyword warrant,キーワード令状,
threat modeling,脅威モデリング,
threat model,脅威モデル,
deepfake,ディープフェイク,
attention economy,アテンションエコノミー,
echo chamber,エコーチェンバー,
filter bubble,フィルターバブル,
confirmation bias,確証バイアス,
disinformation attack,誤報攻撃,
cognitive intervention weapon,認知介入兵器,
cognitive biases,認知的バイアス,
logical fallacies,論理的誤謬,
psychological vulnerabilities,心理的脆弱性,
cognitive hacking,認知ハッキング,
Liar’s dividend,嘘つきの配当,
hybrid threat,ハイブリッド脅威,
swivel chair,回転イス,
election integrity,選挙完全性,
cyber-espionage,サイバーエスピオナージュ,
defamation,誹謗中傷,
persuasion,説得,
polarize,分極化,
trolling,荒らし,
distortion,歪曲,
amplification,増幅,
fake account,偽アカウント,
hashtag  hijacking,ハッシュタグハイジャック,
content farms,コンテンツファーム,
cognitive space,認知空間,
cognitive domain,認知領域,
sentiment analysis,感情分析,
Target Audience Analysis,ターゲットオーディエンス分析（TAA）,
defame,誹謗中傷,
persuade,説得,
undermine institutions,機関の弱体化,
political agenda,政治的アジェンダ,
Web crawler,Webクローラー,
perimeter defense,境界防御,
zero trust defense,ゼロトラスト防御,
data-driven defense,データドリブン防御,
cyber resilience,サイバーレジリエンス,
influencers,インフルエンサー,
spammy account,スパムアカウント,
automated accounts,ボットアカウント,
human-curated accounts,人為工作用アカウント,
stolen accounts,盗難アカウント,
impersonation accounts,成り済ましアカウント,
social discord,社会不和,
weaponized information,兵器化された情報,
hybrid warfare,ハイブリッド戦,
information operations,情報操作,
influence warfare,影響力戦,
unconventional conflict,非従来型紛争,
human engineering,ヒューマンエンジニアリング,
weaponization of everything,すべてのものの武器化,
indicator of compromise,不正侵害指標,
state practice,国家実行,
naming and shaming,晒し上げ,
infodemic,インフォデミック,
the Law of Armed Conflict,武力紛争法,
International Armed Conflict,国際武力紛争,
net war,ネット戦争,
cyber war,サイバー戦争,
Information Related Capabilities (IRCs),情報関連能力,
Cyber CounterIntelligence,サイバー防諜(CCI),
Offensive Cybersecurity,攻撃的サイバーセキュリティ,
Threat Intelligence, スレットインテリジェンス,
Information Warfare, 情報戦,
Information Operations,情報操作,
intelligence gathering,情報収集,
Active offense,アクティブ・オフェンス,
Passive offense,パッシブ・オフェンス,
honeynet,ハニーネット,
cyber weapons,サイバー兵器,
poisoning,ポイゾニング,
kinetic war,キネティック戦,
non-kinetic,非キネティック,
public attribution,パブリックアトリビューション,
attribution coalition,アトリビューション連合,
responsible adversary,有責敵対者,
deterrent abilities,抑止能力,
responsible state behavior,責任ある国家行動,
offensive cyber capabilities,オフェンシブサイバー能力,
disrupting,阻止,
war of attrition,消耗戦,
idempotency,冪等性,
chosen-prefix collision attack,選択プレフィックス衝突攻撃,
echo chambers,エコーチェンバー,
ideological bubble,イデオロギーバブル,
wiper malware,ワイパー型マルウェア,
potentially unwanted program(PUP),不審プログラム,
bit-flipping attack,ビット反転攻撃,
timing attack,タイミング攻撃,
DNS cache poisoning,DNSキャッシュポイズニング,
social domain,ソーシャル領域,
hacktivist,ハクティビスト,
paintball effect,ペイントボール効果,
physical subversion,物理的破壊,
foreign interference,国外干渉,
emerging technology,新興技術,
technology nationalism,技術ナショナリズム,
Deliberate Online Falsehoods,意図的オンライン虚偽,
digital domain,デジタル領域,
ideological warfare,イデオロギー戦争,
natural language processing,自然言語処理,
network text analysis,ネットワークテキスト分析,
communication typology,コミュニケーション類型,
psychometrics,計量心理学,
privilege zone,特権ゾーン,
trust zone,トラストゾーン,
Identity and Access Management(IAM),アイデンティティアクセス管理,
Privileged Access Management(PAM),特権アクセス管理 ,
Multi-Factor Authentication(MFA),多要素認証,
Data Loss Prevention(DLP),データロス防止,
Policy Enforcement Point(PEP),ポリシー強制点 ,
Identity Credentialing and Access Management(ICAM),アイデンティティ・クレデンシャルおよびアクセス管理,
Non-Person Entity(NPE),非人間主体,
Identity Provider(IDP),IDプロバイダー,
Automated Account Provisioning(AAP), 自動アカウントプロビジョニング,
Master User Record(MUR),マスターユーザーレコード,
Private Cloud,プライベートクラウド,
Dedicated Cloud,専用クラウド,
Public Cloud,パブリッククラウド,
Community Cloud,コミュニケーションクラウド,
Hybrid Cloud,ハイブリッドクラウド,
Principle of least privilege,最小権限アクセス原則,
Multi Factor Authentication(MFA),多要素認証,
Policy Decision Point(PDP),ポリシー決定ポイント,
Public Key Infrastructure(PKI),公開鍵基盤,
Master Data Management(MDM),マスターデータ管理,
Security Information and Event Management(SIEM),セキュリティ情報とイベント管理,
Software-defined Computing(SDC),ソフトウェア定義コンピューティング,
Software Defined Storage(SDS),ソフトウェア定義ストレージ,
Return Of Security Investment(ROSI),セキュリティ投資回収,
Annual Loss Expectancy(ALE),年間損失予測,
perimeter model,境界モデル,
Zero Trust Architecture,ゼロトラストアーキテクチャ,
focused defense,集中防御,
strategy-driven information activities,戦略主導型情報活動,
state-sponsored information activities,国家主導情報活動,
On-demand self-service,オンデマンドセルフサービス,
Broad network access,多様なネットワークアクセス,
Resource Pooling,リソース共用性,
Rapid Elasticity,スピーディな拡張性,
Measured Service,計測可能サービス,
Customer Relationship Management(CRM),顧客関係管理,
on-premise,自社管理設備内運用,
off-premise,他社管理設備内運用,
narrative dominance,ナラティブ優越,
brainwashing,洗脳,
Color revolution,カラー革命,
stealth propaganda,ステルスプロパガンダ,
the threshold of war,戦争の閾値,
unconventional warfare(UW),非従来型戦争,
Hardware Security Module(HSM),ハードウェアセキュリティモジュール,
targeting attack,標的型攻撃,
spear attack,スピア攻撃,
Cyber Kill Chain,サイバーキルチェーン,
deploy,配備,
air gap,エアギャップ（ネットワーク分離）,
attack vector,攻撃ベクタ,
Gerasimov chart,ゲラシモフチャート,
Conventional invasion,通常兵器侵攻 ,
Special Operation Forces(SOF),特殊作戦部隊,
mind superiority,精神優越,
perception manipulation,認知操作,
cognitive warfare,認知戦,
ideological sphere,思想領域,
Public Key Pinning,公開鍵ピニング,
Pre-loaded Public Key Pinning,プレロード公開鍵ピニング,
HTTP-based Public Key Pinning(HPKP),HTTPベース公開鍵ピニング,
OCSP stapling,OCSPステープリング,
stateful packet inspection,ステートフルパケットインスペクション,
Computationally security,計算量的安全性,
Information-theoretic security,情報理論的安全性,
Coordinated Inauthentic Behavior(CIB),協調的不正行為,
system-destruction warfare,システム破壊戦,
system-of-systems,システム・オブ・シス テム,
information-confrontation system,情報対立システム,
information attack,情報攻撃,
information defense,情報防御,
Operational Security (OPSEC),運用セキュリティ,
socio-political attribution,社会政治的アトリビューション,
all-source attribution,総合的アトリビューション,
technical attribution,技術的アトリビューション,
human-operated ransomware attacks,人的運用ランサムウェア攻撃,
double extortion ransomware attacks,二重脅迫型ランサムウェア攻撃,
security strength,セキュリティ強度,
outbound,アウトバウンド,
ingress,イングレス,
egress,エグレス,
like farms,いいね工場,
ephemeral astroturﬁng,エフェメラルアストロターフィング,
vishing, ビッシング, @taku888infinity
smishing, スミッシング, @taku888infinity
